15:12:44 08/21/2018 
Temp= 28.684520 ;*C 
Temp= 29.201078 ;*C 
Humidity= 58.208213 ;% 
Pressure= 758.307499 ;torr 
Altitude= 18.806788 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 33.000000 ;ppm 
 
15:27:58 08/21/2018 
Temp= 29.169031 ;*C 
Humidity= 58.183680 ;% 
Pressure= 758.320381 ;torr 
Altitude= 18.663548 ;meters 
Full Spectrum(IR + Visible)= 79 ;lux 
Infrared Value= 14 ;lux 
Visible Value= 65 ;lux 
CO2= 33.000000 ;ppm 
 
15:28:08 08/21/2018 
Temp= 29.183309 ;*C 
Humidity= 58.020690 ;% 
Pressure= 758.332488 ;torr 
Altitude= 18.528921 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:28:18 08/21/2018 
Temp= 29.216308 ;*C 
Humidity= 58.033568 ;% 
Pressure= 758.316911 ;torr 
Altitude= 18.702128 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:28:28 08/21/2018 
Temp= 29.248990 ;*C 
Humidity= 58.163245 ;% 
Pressure= 758.324120 ;torr 
Altitude= 18.621963 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:28:38 08/21/2018 
Temp= 29.282623 ;*C 
Humidity= 58.170321 ;% 
Pressure= 758.310774 ;torr 
Altitude= 18.770373 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:28:48 08/21/2018 
Temp= 29.312449 ;*C 
Humidity= 58.130518 ;% 
Pressure= 758.314427 ;torr 
Altitude= 18.729747 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:28:58 08/21/2018 
Temp= 29.337833 ;*C 
Humidity= 58.137285 ;% 
Pressure= 758.310288 ;torr 
Altitude= 18.775781 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:08 08/21/2018 
Temp= 29.365121 ;*C 
Humidity= 58.068177 ;% 
Pressure= 758.320146 ;torr 
Altitude= 18.666161 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:18 08/21/2018 
Temp= 29.391456 ;*C 
Humidity= 57.969810 ;% 
Pressure= 758.323648 ;torr 
Altitude= 18.627213 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:28 08/21/2018 
Temp= 29.420648 ;*C 
Humidity= 57.842311 ;% 
Pressure= 758.308484 ;torr 
Altitude= 18.795839 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:38 08/21/2018 
Temp= 29.445397 ;*C 
Humidity= 57.901633 ;% 
Pressure= 758.307503 ;torr 
Altitude= 18.806744 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:48 08/21/2018 
Temp= 29.464117 ;*C 
Humidity= 57.726990 ;% 
Pressure= 758.326337 ;torr 
Altitude= 18.597314 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:29:58 08/21/2018 
Temp= 29.477127 ;*C 
Humidity= 57.633939 ;% 
Pressure= 758.317387 ;torr 
Altitude= 18.696840 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:30:08 08/21/2018 
Temp= 29.492674 ;*C 
Humidity= 57.470839 ;% 
Pressure= 758.328556 ;torr 
Altitude= 18.572643 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:30:18 08/21/2018 
Temp= 29.505049 ;*C 
Humidity= 57.371903 ;% 
Pressure= 758.322773 ;torr 
Altitude= 18.636945 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:30:28 08/21/2018 
Temp= 29.523135 ;*C 
Humidity= 57.255623 ;% 
Pressure= 758.327966 ;torr 
Altitude= 18.579203 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:30:39 08/21/2018 
Temp= 29.532019 ;*C 
Humidity= 57.250080 ;% 
Pressure= 758.319216 ;torr 
Altitude= 18.676494 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 33.000000 ;ppm 
 
15:30:49 08/21/2018 
Temp= 29.541855 ;*C 
Humidity= 57.156888 ;% 
Pressure= 758.331282 ;torr 
Altitude= 18.542333 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:30:59 08/21/2018 
Temp= 29.557086 ;*C 
Humidity= 56.970325 ;% 
Pressure= 758.325166 ;torr 
Altitude= 18.610339 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:09 08/21/2018 
Temp= 29.565335 ;*C 
Humidity= 57.029068 ;% 
Pressure= 758.318291 ;torr 
Altitude= 18.686780 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:19 08/21/2018 
Temp= 29.572633 ;*C 
Humidity= 56.918225 ;% 
Pressure= 758.308941 ;torr 
Altitude= 18.790758 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:29 08/21/2018 
Temp= 29.589767 ;*C 
Humidity= 56.679066 ;% 
Pressure= 758.320706 ;torr 
Altitude= 18.659932 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:39 08/21/2018 
Temp= 29.598334 ;*C 
Humidity= 56.679351 ;% 
Pressure= 758.328528 ;torr 
Altitude= 18.572951 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:49 08/21/2018 
Temp= 29.611026 ;*C 
Humidity= 56.551118 ;% 
Pressure= 758.332266 ;torr 
Altitude= 18.531390 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:31:59 08/21/2018 
Temp= 29.619593 ;*C 
Humidity= 56.411044 ;% 
Pressure= 758.325863 ;torr 
Altitude= 18.602592 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 32.000000 ;ppm 
 
15:32:09 08/21/2018 
Temp= 29.630382 ;*C 
Humidity= 56.352908 ;% 
Pressure= 758.310422 ;torr 
Altitude= 18.774288 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:32:19 08/21/2018 
Temp= 29.633237 ;*C 
Humidity= 56.271122 ;% 
Pressure= 758.308797 ;torr 
Altitude= 18.792355 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:32:29 08/21/2018 
Temp= 29.631016 ;*C 
Humidity= 56.165768 ;% 
Pressure= 758.300785 ;torr 
Altitude= 18.881441 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:32:39 08/21/2018 
Temp= 29.632285 ;*C 
Humidity= 56.142416 ;% 
Pressure= 758.305028 ;torr 
Altitude= 18.834268 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 32.000000 ;ppm 
 
15:32:49 08/21/2018 
Temp= 29.636410 ;*C 
Humidity= 56.142547 ;% 
Pressure= 758.299649 ;torr 
Altitude= 18.894077 ;meters 
Full Spectrum(IR + Visible)= 81 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 66 ;lux 
CO2= 32.000000 ;ppm 
 
